국가,언어,여행 성향
네덜란드,네덜란드어,전통문화 및 자연경관 탐방 선호
네팔,네팔어,등산 및 자연경관 탐방 선호
뉴질랜드,영어,자연경관 및 액티비티 선호
대만,중국어,"미식 및 쇼핑 선호, 한류 관심"
독일,독일어,역사 및 산업 관광 선호
러시아,러시아어,"미식 및 쇼핑 선호, K-뷰티 관심"
말레이시아,말레이어,"한류 및 도심 관광 선호, 할랄 음식 관심"
멕시코,스페인어,"K-팝 및 한류 문화 관심, 길거리 음식 탐방"
몽골,몽골어,자연경관 및 힐링 여행 선호
미국,영어,"도시 관광 및 야경 선호, K-푸드 관심"
미얀마,미얀마어,전통문화 및 불교 문화 관심
베트남,베트남어,"한류 및 도심 관광 선호, 미식 관심"
스페인,스페인어,문화 및 건축 관광 선호
싱가포르,"영어, 중국어","럭셔리 및 쇼핑 선호, 한류 관심"
영국,영어,도시 관광 및 역사 탐방 선호
오스트레일리아,영어,자연경관 및 힐링 여행 선호
우즈베키스탄,우즈베크어,역사 및 전통문화 탐방 선호
이탈리아,이탈리아어,예술 및 문화 관광 선호
인도,"힌디어, 영어",전통문화 및 불교 유적 관심
인도네시아,인도네시아어,한류 및 도심 관광 선호
일본,일본어,"쇼핑 및 음식 탐방 선호, 개별 여행 선호"
중국,중국어,"역사 유적지 방문 선호, 단체 여행 선호"
카자흐스탄,"카자흐어, 러시아어",자연경관 및 역사 탐방 선호
캄보디아,크메르어,전통문화 및 불교 유적 탐방 선호
캐나다,"영어, 프랑스어",자연경관 및 아웃도어 활동 선호
태국,태국어,"미식 및 쇼핑 선호, 한류 관심"
튀르키예,터키어,역사 및 전통문화 탐방 선호
프랑스,프랑스어,문화 및 예술 관광 선호
필리핀,"영어, 타갈로그어",해변 및 휴양 관광 선호
홍콩,"중국어, 영어","쇼핑 및 미식 선호, 한류 관심"
